"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 21 20:32:30 GMT 2023","Wed Jun 21 20:32:31 GMT 2023","835","","Страница авторизации пользователя","","","","Test 11:Переход с страницы “Авторизация” на страницу “Забыли пароль”",""
"passed","Wed Jun 21 20:32:29 GMT 2023","Wed Jun 21 20:32:30 GMT 2023","822","","Страница авторизации пользователя","","","","Test 9:При вводе в поле “Введите пароль” пароль скрыт точками, при нажатии на иконку “закрытого глаза”, пароль видимый",""
"passed","Wed Jun 21 20:32:30 GMT 2023","Wed Jun 21 20:32:30 GMT 2023","546","","Страница авторизации пользователя","","","","Test 10:Переход с страницы “Авторизация” на страницу “Зарегистироваться”",""
"passed","Wed Jun 21 20:32:23 GMT 2023","Wed Jun 21 20:32:24 GMT 2023","874","","Страница авторизации пользователя","","","","Test 5:Авторизация на сайте не заполняя поле “Номер телефона”",""
"passed","Wed Jun 21 20:32:21 GMT 2023","Wed Jun 21 20:32:22 GMT 2023","1865","","Страница авторизации пользователя","","","","Test 3:Авторизация на сайте при вводе невалидных данных",""
"passed","Wed Jun 21 20:32:16 GMT 2023","Wed Jun 21 20:32:19 GMT 2023","3471","","Страница авторизации пользователя","","","","Test 1:Проверка, что форма авторизации пользователя существует и является видимой на странице",""
"passed","Wed Jun 21 20:32:22 GMT 2023","Wed Jun 21 20:32:23 GMT 2023","630","","Страница авторизации пользователя","","","","Test 4:Авторизация на сайте не заполняя поля формы",""
"passed","Wed Jun 21 20:32:24 GMT 2023","Wed Jun 21 20:32:26 GMT 2023","2158","","Страница авторизации пользователя","","","","Test 6:Авторизация на сайте не заполняя поле “Введите пароль”",""
"passed","Wed Jun 21 20:32:27 GMT 2023","Wed Jun 21 20:32:29 GMT 2023","1212","","Страница авторизации пользователя","","","","Test 8:Авторизация на сайте при в вводе в поле “Введите пароль” пароль состоящий из цифр",""
"passed","Wed Jun 21 20:32:26 GMT 2023","Wed Jun 21 20:32:27 GMT 2023","1408","","Страница авторизации пользователя","","","","Test 7:Авторизация на сайте с некорректым номером телефона",""
"passed","Wed Jun 21 20:32:19 GMT 2023","Wed Jun 21 20:32:21 GMT 2023","1289","","Страница авторизации пользователя","","","","Test 2:Авторизация на сайте при вводе валидных данных",""
