"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 21 19:53:44 GMT 2023","Wed Jun 21 19:53:45 GMT 2023","1142","","Страница авторизации пользователя","","","","Test 8:Авторизация на сайте при в вводе в поле “Введите пароль” пароль состоящий из цифр",""
"passed","Wed Jun 21 19:53:35 GMT 2023","Wed Jun 21 19:53:36 GMT 2023","1132","","Страница авторизации пользователя","","","","Test 2:Авторизация на сайте при вводе валидных данных",""
"passed","Wed Jun 21 19:53:31 GMT 2023","Wed Jun 21 19:53:35 GMT 2023","4059","","Страница авторизации пользователя","","","","Test 1:Проверка, что форма авторизации пользователя существует и является видимой на странице",""
"passed","Wed Jun 21 19:53:45 GMT 2023","Wed Jun 21 19:53:46 GMT 2023","824","","Страница авторизации пользователя","","","","Test 9:При вводе в поле “Введите пароль” пароль скрыт точками, при нажатии на иконку “закрытого глаза”, пароль видимый",""
"passed","Wed Jun 21 19:53:46 GMT 2023","Wed Jun 21 19:53:46 GMT 2023","534","","Страница авторизации пользователя","","","","Test 10:Переход с страницы “Авторизация” на страницу “Зарегистироваться”",""
"passed","Wed Jun 21 19:53:39 GMT 2023","Wed Jun 21 19:53:42 GMT 2023","3578","","Страница авторизации пользователя","","","","Test 6:Авторизация на сайте не заполняя поле “Введите пароль”",""
"failed","Wed Jun 21 19:53:36 GMT 2023","Wed Jun 21 19:53:37 GMT 2023","679","","Страница авторизации пользователя","","","","Test 3:Авторизация на сайте при вводе невалидных данных",""
"passed","Wed Jun 21 19:53:38 GMT 2023","Wed Jun 21 19:53:39 GMT 2023","813","","Страница авторизации пользователя","","","","Test 5:Авторизация на сайте не заполняя поле “Номер телефона”",""
"passed","Wed Jun 21 19:53:46 GMT 2023","Wed Jun 21 19:53:47 GMT 2023","814","","Страница авторизации пользователя","","","","Test 11:Переход с страницы “Авторизация” на страницу “Забыли пароль”",""
"passed","Wed Jun 21 19:53:42 GMT 2023","Wed Jun 21 19:53:44 GMT 2023","1413","","Страница авторизации пользователя","","","","Test 7:Авторизация на сайте с некорректым номером телефона",""
"passed","Wed Jun 21 19:53:37 GMT 2023","Wed Jun 21 19:53:38 GMT 2023","745","","Страница авторизации пользователя","","","","Test 4:Авторизация на сайте не заполняя поля формы",""
