"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 21 14:41:42 GMT 2023","Wed Jun 21 14:41:43 GMT 2023","825","","Страница авторизации пользователя","","","","Test 6:Авторизация на сайте не заполняя поле “Введите пароль”",""
"passed","Wed Jun 21 14:41:27 GMT 2023","Wed Jun 21 14:41:30 GMT 2023","3064","","Страница авторизации пользователя","","","","Test 1:Проверка, что форма авторизации пользователя существует и является видимой на странице",""
"passed","Wed Jun 21 14:41:41 GMT 2023","Wed Jun 21 14:41:42 GMT 2023","815","","Страница авторизации пользователя","","","","Test 5:Авторизация на сайте не заполняя поле “Номер телефона”",""
"passed","Wed Jun 21 14:41:30 GMT 2023","Wed Jun 21 14:41:38 GMT 2023","7077","","Страница авторизации пользователя","","","","Test 2:Авторизация на сайте при вводе валидных данных",""
"passed","Wed Jun 21 14:41:41 GMT 2023","Wed Jun 21 14:41:41 GMT 2023","832","","Страница авторизации пользователя","","","","Test 4:Авторизация на сайте не заполняя поля формы",""
"passed","Wed Jun 21 14:41:47 GMT 2023","Wed Jun 21 14:41:48 GMT 2023","642","","Страница авторизации пользователя","","","","Test 10:Переход с страницы “Авторизация” на страницу “Зарегистироваться”",""
"passed","Wed Jun 21 14:41:38 GMT 2023","Wed Jun 21 14:41:41 GMT 2023","2943","","Страница авторизации пользователя","","","","Test 3:Авторизация на сайте при вводе невалидных данных",""
"passed","Wed Jun 21 14:41:44 GMT 2023","Wed Jun 21 14:41:46 GMT 2023","1808","","Страница авторизации пользователя","","","","Test 8:Авторизация на сайте при в вводе в поле “Введите пароль” пароль состоящий из цифр",""
"passed","Wed Jun 21 14:41:48 GMT 2023","Wed Jun 21 14:41:49 GMT 2023","827","","Страница авторизации пользователя","","","","Test 11:Переход с страницы “Авторизация” на страницу “Забыли пароль”",""
"passed","Wed Jun 21 14:41:43 GMT 2023","Wed Jun 21 14:41:44 GMT 2023","1096","","Страница авторизации пользователя","","","","Test 7:Авторизация на сайте с некорректым номером телефона",""
"passed","Wed Jun 21 14:41:46 GMT 2023","Wed Jun 21 14:41:47 GMT 2023","1052","","Страница авторизации пользователя","","","","Test 9:При вводе в поле “Введите пароль” пароль скрыт точками, при нажатии на иконку “закрытого глаза”, пароль видимый",""
